survey_name,interview_date,satis_score,ease_score,likely_recomm,login_rating,nav_rating,web_rating,func_rating,ibiz_rating,features_rating,security_rating,dept_org_unit,prod_type,age
Digital Banking,1/27/2020,4,7,7,2,6,6,2,,4,7,CB ,Deposits,62
Retail Banking,1/11/2020,6,6,10,,,,,,,,CB ,Deposits,64
Business Banking,1/29/2020,7,7,10,,,,,,,,BB ,Loans,
Business Banking,1/29/2020,7,7,10,,,,,,,,BB ,Deposits,
Digital Banking,1/28/2020,4,6,9,4,6,6,6,,6,4,CB ,Deposits,78
Business Banking,1/28/2020,7,7,8,,,,,,,,BB ,Loans,
Business Banking,1/28/2020,7,7,10,,,,,,,,BB ,Deposits,
Business Banking,1/29/2020,7,7,9,,,,,,,,BB ,Deposits,
Digital Banking,1/29/2020,7,7,9,7,7,7,7,,7,7,CB ,Deposits,81
Business Banking,1/29/2020,7,6,10,,,,,,,,BB ,Deposits,
Business Banking,1/29/2020,5,6,8,,,,,,,,PB ,Deposits,
Loan,1/10/2020,7,7,10,,,,,,,,PB ,Loans,71
Business Banking,1/27/2020,7,7,10,,,,,,,,MM ,Deposits,
New Account,1/6/2020,6,6,8,,,,,,,,CB ,Deposits,59
Retail Banking,1/10/2020,7,5,9,,,,,,,,CB ,Loans,39
New Account,1/18/2020,7,7,10,,,,,,,,CB ,Deposits,31
Closed Account,1/18/2020,7,7,10,,,,,,,,BB ,Deposits,85
New Account,1/20/2020,7,7,10,,,,,,,,CB ,Deposits,67
Loan,1/20/2020,7,6,10,,,,,,,,CB ,Loans,45
Digital Banking,1/23/2020,6,7,9,7,6,6,6,,7,7,CB ,Deposits,64
Digital Banking,1/23/2020,7,7,10,7,7,7,7,,7,7,CB ,Loans,47
Digital Banking,1/3/2020,7,7,10,7,6,7,7,,7,7,CB ,Deposits,72
Business Banking,1/6/2020,7,7,10,,,,,,,,BB ,Deposits,
Digital Banking,1/6/2020,4,5,5,6,4,4,4,,5,4,PB ,Deposits,42
Loan,1/17/2020,6,3,6,,,,,,,,CB ,Loans,57
New Account,1/6/2020,7,7,10,,,,,,,,CB ,Deposits,28
Loan,1/16/2020,7,7,10,,,,,,,,CB ,Loans,72
Digital Banking,1/6/2020,7,7,10,7,7,7,7,,7,7,CB ,Deposits,60
Digital Banking,1/7/2020,4,6,10,2,1,6,2,,2,6,CB ,Deposits,73
Business Banking,1/6/2020,6,6,8,,,,,,,,BB ,Deposits,
Digital Banking,1/23/2020,7,7,10,7,7,7,7,,7,7,BB ,Loans,60
Digital Banking,1/24/2020,5,6,10,7,5,6,7,,7,7,CB ,Deposits,57
Digital Banking,1/24/2020,7,7,10,7,7,7,7,,7,7,CB ,Deposits,71
Retail Banking,1/25/2020,6,n/a,8,,,,,,,,CB ,Deposits,100
Retail Banking,1/25/2020,7,7,10,,,,,,,,CB ,Deposits,62
Retail Banking,1/27/2020,6,6,10,,,,,,,,CB ,Deposits,67
Digital Banking,1/27/2020,6,6,10,7,7,7,7,,6,6,CB ,Deposits,75
Digital Banking,1/6/2020,6,6,9,6,6,6,6,,6,6,CB ,Deposits,74
Retail Banking,1/25/2020,7,7,10,,,,,,,,CB ,Deposits,70
Wealth Management,1/11/2020,7,7,10,,,,,,,,WM,Investments,64
Digital Banking,1/12/2020,3,7,10,5,5,4,3,,4,5,CB ,Deposits,61
Digital Banking,1/13/2020,4,4,4,4,4,4,4,,4,5,CB ,Deposits,66
Loan,1/24/2020,7,7,10,,,,,,,,PB ,Loans,72
Loan,1/24/2020,7,7,10,,,,,,,,PB ,Loans,72
Digital Banking,1/24/2020,7,7,10,7,7,7,7,,7,7,CB ,Deposits,69
Digital Banking,1/24/2020,6,6,9,6,6,6,6,,6,7,CB ,Deposits,72
Retail Banking,1/24/2020,7,7,10,,,,,,,,CB ,Deposits,85
Digital Banking,1/25/2020,4,4,6,5,4,4,4,,4,6,CB ,Deposits,65
Digital Banking,1/25/2020,7,7,10,7,7,7,7,,7,7,CB ,Deposits,82
Closed Account,1/17/2020,5,5,7,,,,,,,,CB ,Loans,75
Retail Banking,1/25/2020,7,7,10,,,,,,,,CB ,Deposits,80
Business Banking,1/17/2020,7,7,10,,,,,,,,BB ,Deposits,
Retail Banking,1/25/2020,7,7,10,,,,,,,,CB ,Deposits,80
Digital Banking,1/25/2020,6,7,10,7,7,7,7,,5,7,CB ,Deposits,75
Digital Banking,1/26/2020,5,7,9,5,5,5,5,,6,7,PB ,Deposits,78
Business Banking,1/7/2020,7,7,10,,,,,,,,BB ,Deposits,
Business Banking,1/8/2020,5,1,0,,,,,,,,BB ,Deposits,
Digital Banking,1/10/2020,7,7,10,7,7,7,7,,7,7,CB ,Deposits,73
Digital Banking,1/15/2020,7,7,10,7,5,6,6,,7,7,CB ,Deposits,72
Digital Banking,1/15/2020,5,7,9,7,5,6,6,,6,7,PB ,Loans,59
