survey_name,interview_date,satis_score,ease_score,likely_recomm,login_rating,nav_rating,web_rating,func_rating,features_rating,security_rating,dept_org_unit,prod_type,age
Digital Banking,3/12/2020,6,7,10,7,6,7,7,4,7,CB ,Deposits,79
Digital Banking,3/17/2020,7,7,10,7,7,7,7,7,7,CB ,Deposits,69
Digital Banking,3/18/2020,7,7,10,7,6,6,7,7,7,CB ,Deposits,80
Digital Banking,3/6/2020,7,7,10,7,6,7,7,7,7,CB ,Loans,62
Digital Banking,3/12/2020,6,7,10,7,7,6,5,7,7,CB ,Deposits,59
Digital Banking,3/13/2020,7,7,10,7,7,6,7,7,7,CB ,Deposits,38
Digital Banking,3/11/2020,4,5,3,6,1,1,5,5,7,CB ,Deposits,59
Digital Banking,3/6/2020,6,6,9,6,7,5,6,7,7,CB ,Deposits,67
Digital Banking,3/16/2020,6,6,8,6,6,6,6,6,6,PB ,Loans,71
Digital Banking,3/16/2020,6,7,10,7,5,6,6,6,7,CB ,Deposits,69
Digital Banking,3/16/2020,4,6,7,3,3,6,6,6,7,CB ,Deposits,70
Digital Banking,3/6/2020,6,6,9,6,6,6,6,6,6,CB ,Deposits,65
Digital Banking,3/6/2020,7,7,10,7,7,7,7,7,7,CB ,Deposits,71
Digital Banking,3/6/2020,5,6,8,5,5,5,6,5,6,CB ,Deposits,58
Digital Banking,3/10/2020,7,7,10,7,7,7,7,7,7,CB ,Deposits,70
Digital Banking,3/17/2020,7,5,9,6,6,6,7,6,7,CB ,Deposits,66
Digital Banking,3/16/2020,6,7,10,7,4,4,4,6,7,CB ,Deposits,76
Digital Banking,3/3/2020,7,7,10,5,5,5,5,6,6,CB ,Deposits,69
Digital Banking,3/5/2020,7,7,10,7,7,7,7,7,7,CB ,Loans,56
Digital Banking,3/3/2020,6,7,10,7,7,7,7,7,7,BB ,Deposits,58
Digital Banking,3/2/2020,6,4,7,5,5,6,5,5,5,CB ,Deposits,92
Digital Banking,3/5/2020,1,4,0,1,4,4,4,5,6,CB ,Deposits,40
Digital Banking,3/9/2020,6,7,9,7,6,6,6,6,6,CB ,Deposits,78
Digital Banking,3/5/2020,7,7,10,6,6,6,6,6,6,CB ,Loans,67
Digital Banking,3/6/2020,7,6,10,7,7,7,7,7,7,CB ,Loans,67
Digital Banking,3/5/2020,7,7,10,7,7,7,7,7,7,CB ,Deposits,55
Digital Banking,3/5/2020,7,7,10,7,7,7,7,7,7,CB ,Deposits,46
Digital Banking,3/14/2020,7,7,10,7,7,4,7,7,7,CB ,Deposits,55
Digital Banking,3/4/2020,6,7,10,5,5,5,7,6,6,CB ,Deposits,81
Digital Banking,3/7/2020,7,7,10,7,7,7,7,7,7,CB ,Deposits,82
Digital Banking,3/8/2020,5,7,9,6,6,7,6,6,6,CB ,Deposits,62
Digital Banking,3/9/2020,6,6,9,5,5,6,6,6,6,PB ,Deposits,66
Digital Banking,3/12/2020,6,7,10,5,7,6,6,6,6,CB ,Deposits,72
Digital Banking,3/5/2020,7,7,10,7,7,7,7,7,7,BB ,Deposits,81
Digital Banking,3/3/2020,5,7,9,7,7,7,7,7,7,CB ,Deposits,49
Digital Banking,3/11/2020,5,6,9,5,5,5,5,5,6,CB ,Deposits,77
Digital Banking,3/4/2020,7,7,10,7,7,7,7,7,7,CB ,Deposits,70
Digital Banking,3/20/2020,7,7,10,7,6,6,6,6,7,CB ,Loans,77
Digital Banking,3/20/2020,5,6,9,7,7,6,5,6,7,CB ,Deposits,29
Digital Banking,3/20/2020,5,5,7,5,5,5,6,4,7,CB ,Deposits,60
Digital Banking,3/10/2020,7,7,10,7,7,7,7,7,7,CB ,Loans,72
Digital Banking,3/22/2020,6,6,9,6,7,7,6,7,7,CB ,Deposits,46
Digital Banking,3/25/2020,5,6,10,7,6,6,6,6,7,CB ,Deposits,64
Digital Banking,3/27/2020,5,6,9,6,5,6,5,6,7,CB ,Deposits,73
Digital Banking,3/25/2020,7,7,10,7,7,6,6,6,7,CB ,Deposits,65
Digital Banking,3/25/2020,6,5,8,6,4,4,5,5,5,CB ,Deposits,71
Digital Banking,3/27/2020,7,7,10,7,7,7,7,7,7,PB ,Deposits,71
Digital Banking,3/26/2020,6,6,9,6,6,6,6,6,6,CB ,Deposits,49
Digital Banking,3/25/2020,5,6,8,5,5,3,4,5,6,CB ,Deposits,50
Digital Banking,3/5/2020,7,7,10,7,7,7,7,7,7,CB ,Deposits,62
Digital Banking,3/27/2020,7,7,9,7,7,6,6,7,7,CB ,Deposits,75
Digital Banking,3/27/2020,6,7,10,6,7,6,6,7,7,CB ,Deposits,67
Digital Banking,3/28/2020,7,7,10,7,7,7,7,7,7,CB ,Deposits,44
Digital Banking,3/17/2020,7,7,10,7,7,7,7,7,7,PB ,Deposits,72
Digital Banking,3/23/2020,6,7,9,6,6,7,7,7,7,BB ,Deposits,71
Digital Banking,3/24/2020,7,7,10,7,7,7,6,6,7,CB ,Deposits,57
Digital Banking,3/24/2020,7,7,10,7,6,7,6,6,7,CB ,Deposits,71
Digital Banking,3/24/2020,7,7,10,7,7,7,6,7,7,CB ,Loans,72
