survey_name,month,interview_date,satis_rating,avg_sat_rating,ease_rating,recommend_rating,login_rating,navig_rating,web_rating,function_rating,feature_rating,security_rating,dept_org_unit,product,zipcode,age,
Digital Banking,2020M02,2/21/2020,6,,7,9,7,7,5,7,7,7,CB ,Deposits,78114,59,
Digital Banking,2020M02,2/20/2020,7,,7,10,7,7,7,6,6,7,CB ,Loans,78258,63,
Digital Banking,2020M02,2/24/2020,5,,6,8,6,5,4,5,5,5,CB ,Deposits,79007,48,
Digital Banking,2020M02,2/13/2020,7,,7,10,7,7,7,7,7,7,CB ,Deposits,78249,71,
Digital Banking,2020M02,2/19/2020,6,,6,10,6,5,6,6,6,6,PB ,Deposits,78070,71,
Digital Banking,2020M02,2/20/2020,7,,5,8,6,6,4,5,5,7,CB ,Deposits,78216,36,
Digital Banking,2020M02,2/13/2020,2,,1,0,2,2,2,2,2,1,PB ,Deposits,78231,39,
Digital Banking,2020M02,2/13/2020,4,,3,3,7,7,7,1,1,7,CB ,Loans,78244,39,
Digital Banking,2020M02,2/13/2020,7,,7,10,7,6,7,7,6,7,CB ,Deposits,78624,73,
Digital Banking,2020M02,2/13/2020,7,,7,10,7,7,7,7,7,7,CB ,Deposits,78148,75,
Digital Banking,2020M02,2/13/2020,1,,4,5,6,6,6,1,1,7,CB ,Deposits,78214,28,
Digital Banking,2020M02,2/13/2020,6,,6,9,6,6,6,6,6,6,CB ,Deposits,78130,61,
Digital Banking,2020M02,2/25/2020,6,,5,7,5,4,6,6,5,7,CB ,Deposits,78260,71,
Digital Banking,2020M02,2/10/2020,5,,6,7,6,5,6,6,6,6,CB ,Deposits,23060,68,
Digital Banking,2020M02,2/13/2020,7,,7,9,7,7,7,7,7,7,CB ,Deposits,78233,67,
Digital Banking,2020M02,2/14/2020,2,,4,4,6,1,4,4,3,6,CB ,Deposits,78154,58,
Digital Banking,2020M02,2/14/2020,6,,4,7,6,4,5,3,5,6,CB ,Deposits,78644,69,
Digital Banking,2020M02,2/13/2020,7,,7,10,5,6,6,7,7,7,CB ,Loans,78629,54,
Digital Banking,2020M02,2/20/2020,6,,7,10,7,7,7,7,7,7,CB ,Deposits,76227,49,
Digital Banking,2020M02,2/21/2020,6,,7,10,7,6,6,7,7,7,CB ,Loans,78023,78,
Digital Banking,2020M02,2/20/2020,5,,6,8,6,5,6,6,6,6,CB ,Deposits,78130,56,
Digital Banking,2020M02,2/24/2020,7,,7,9,7,7,7,7,7,7,CB ,Deposits,78155,74,
Digital Banking,2020M02,2/10/2020,7,,7,10,6,6,7,6,7,7,CB ,Deposits,78239,68,
Digital Banking,2020M02,2/7/2020,6,,7,10,7,6,6,7,7,7,CB ,Loans,78233,77,
Digital Banking,2020M02,2/7/2020,6,,7,10,7,7,6,6,6,6,CB ,Deposits,78270,57,
Digital Banking,2020M02,2/8/2020,6,,7,10,7,7,7,7,7,7,CB ,Deposits,78052,75,
Digital Banking,2020M02,2/8/2020,7,,7,10,7,7,7,7,7,7,CB ,Deposits,78676,72,
Digital Banking,2020M02,2/9/2020,6,,6,9,6,6,4,5,6,7,CB ,Loans,78245,57,
Digital Banking,2020M03,3/9/2020,7,,7,10,7,7,7,7,7,7,CB ,Deposits,78217,80,
Digital Banking,2020M03,3/6/2020,6,,7,10,6,3,6,6,6,6,CB ,Deposits,78861,48,
Digital Banking,2020M03,3/9/2020,6,,6,7,7,5,6,6,6,6,BB ,Deposits,78260,61,
Digital Banking,2020M03,3/20/2020,7,,7,10,7,7,6,6,7,7,CB ,Deposits,78676,86,
Digital Banking,2020M03,3/12/2020,7,,7,10,7,7,7,7,7,7,CB ,Deposits,78006,65,
Digital Banking,2020M03,3/6/2020,7,,7,10,7,6,6,6,6,7,CB ,Deposits,78109,82,
Digital Banking,2020M03,3/12/2020,6,,7,10,7,6,7,7,4,7,CB ,Deposits,78148,79,
Digital Banking,2020M03,3/17/2020,7,,7,10,7,7,7,7,7,7,CB ,Deposits,78253,69,
Digital Banking,2020M03,3/18/2020,7,,7,10,7,6,6,7,7,7,CB ,Deposits,78009,80,
Digital Banking,2020M03,3/6/2020,7,,7,10,7,6,7,7,7,7,CB ,Loans,78070,62,
Digital Banking,2020M03,3/12/2020,6,,7,10,7,7,6,5,7,7,CB ,Deposits,78250,59,
Digital Banking,2020M03,3/13/2020,7,,7,10,7,7,6,7,7,7,CB ,Deposits,78132,38,
Digital Banking,2020M03,3/11/2020,4,,5,3,6,1,1,5,5,7,CB ,Deposits,78209,59,
Digital Banking,2020M03,3/6/2020,6,,6,9,6,7,5,6,7,7,CB ,Deposits,78259,67,
Digital Banking,2020M03,3/16/2020,6,,6,8,6,6,6,6,6,6,PB ,Loans,78746,71,
Digital Banking,2020M03,3/16/2020,6,,7,10,7,5,6,6,6,7,CB ,Deposits,78233,69,
Digital Banking,2020M03,3/16/2020,4,,6,7,3,3,6,6,6,7,CB ,Deposits,78209,70,
Digital Banking,2020M03,3/6/2020,6,,6,9,6,6,6,6,6,6,CB ,Deposits,78218,65,
Digital Banking,2020M03,3/6/2020,7,,7,10,7,7,7,7,7,7,CB ,Deposits,78250,71,
Digital Banking,2020M03,3/6/2020,5,,6,8,5,5,5,6,5,6,CB ,Deposits,78070,58,
Digital Banking,2020M03,3/10/2020,7,,7,10,7,7,7,7,7,7,CB ,Deposits,78239,70,
Digital Banking,2020M03,3/17/2020,7,,5,9,6,6,6,7,6,7,CB ,Deposits,78225,66,
Digital Banking,2020M03,3/16/2020,6,,7,10,7,4,4,4,6,7,CB ,Deposits,78245,76,
Digital Banking,2020M03,3/3/2020,7,,7,10,5,5,5,5,6,6,CB ,Deposits,78620,69,
Digital Banking,2020M03,3/5/2020,7,,7,10,7,7,7,7,7,7,CB ,Loans,78216,56,
Digital Banking,2020M03,3/3/2020,6,,7,10,7,7,7,7,7,7,BB ,Deposits,78606,58,
Digital Banking,2020M03,3/2/2020,6,,4,7,5,5,6,5,5,5,CB ,Deposits,78247,92,
Digital Banking,2020M03,3/5/2020,1,,4,0,1,4,4,4,5,6,CB ,Deposits,78238,40,
Digital Banking,2020M03,3/9/2020,6,,7,9,7,6,6,6,6,6,CB ,Deposits,78154,78,
Digital Banking,2020M03,3/5/2020,7,,7,10,6,6,6,6,6,6,CB ,Loans,78124,67,
Digital Banking,2020M03,3/6/2020,7,,6,10,7,7,7,7,7,7,CB ,Loans,78239,67,
